NMFS_DNA_ID,BOX_ID,BOX_POSITION,PLATE,PLATE_POS,Sort,SAMPLE_ID,ANALYSIS_ID,BATCH_ID,PROJECT_NAME,GENUS,SPECIES,LENGTH,WEIGHT,SEX,AGE,REPORTED_LIFE_STAGE,PHENOTYPE,HATCHERY_MARK,TAG_NUMBER,COLLECTION_DATE,ESTIMATED_DATE,PICKER,PICK_DATE,LEFTOVER_SAMPLE,SAMPLE_COMMENTS,NMFS_DNA_ID,STATE_F,COUNTY_F,WATERSHED,TRIB_1,TRIB_2,WATER_NAME,REACH_SITE,LATITUDE_F,LONGITUDE_F,HATCHERY,STRAIN,LOCATION_COMMENTS_F
T009529,T100,9G,TGV,9G,93,S040117MIL,MILsp_23,293,CV Chinook BY '04,Oncorhynchus,tshawytscha,780,,Female,,Adult,Spring,,,10/7/04,,CG,6/7/05,,PhysApp=BRT,T009529,California,San Francisco ,Sacramento River,,,Mill Creek,Sooner Place,,,,,
T021799,T230,10A,TGV,10A,10,IG100906-56,IGH_01,989,Klamath Below Iron Gate,Oncorhynchus,tshawytscha,810,,Male,,,,,,10/9/06,,MM,2/13/07,,Tissue Type: Caudal fin,T021799,California,Del Norte,Klamath River,,,Klamath River,,,,Iron Gate Hatchery,,
T021800,T230,10B,TGV,10B,22,IG101006-124,IGH_02,989,Klamath Below Iron Gate,Oncorhynchus,tshawytscha,830,,Male,,,,,,10/10/06,,MM,2/13/07,,Tissue Type: Caudal fin,T021800,California,Del Norte,Klamath River,,,Klamath River,,,,Iron Gate Hatchery,,
T021801,T230,10C,TGV,10C,34,IG101006-24,IGH_03,989,Klamath Below Iron Gate,Oncorhynchus,tshawytscha,620,,Female,,,,,,10/10/06,,MM,2/13/07,,Tissue Type: Caudal fin,T021801,California,Del Norte,Klamath River,,,Klamath River,,,,Iron Gate Hatchery,,
T021802,T230,10D,TGV,10D,46,IG101006-268,IGH_04,989,Klamath Below Iron Gate,Oncorhynchus,tshawytscha,750,,Male,,,,,,10/10/06,,MM,2/13/07,,Tissue Type: Caudal fin,T021802,California,Del Norte,Klamath River,,,Klamath River,,,,Iron Gate Hatchery,,
T021803,T230,10E,TGV,10E,58,IG101006-329,IGH_05,989,Klamath Below Iron Gate,Oncorhynchus,tshawytscha,750,,Male,,,,,,10/10/06,,MM,2/13/07,,Tissue Type: Caudal fin,T021803,California,Del Norte,Klamath River,,,Klamath River,,,,Iron Gate Hatchery,,
T021804,T230,10F,TGV,10F,70,IG101006-445,IGH_06,989,Klamath Below Iron Gate,Oncorhynchus,tshawytscha,780,,Female,,,,,,10/10/06,,MM,2/13/07,,Tissue Type: Caudal fin,T021804,California,Del Norte,Klamath River,,,Klamath River,,,,Iron Gate Hatchery,,
T021805,T230,10G,TGV,10G,82,IG101106-136,IGH_07,989,Klamath Below Iron Gate,Oncorhynchus,tshawytscha,650,,Male,,,,,,10/11/06,,MM,2/13/07,,Tissue Type: Caudal fin,T021805,California,Del Norte,Klamath River,,,Klamath River,,,,Iron Gate Hatchery,,
T021806,T230,10H,TGV,10H,94,IG101106-236,IGH_08,989,Klamath Below Iron Gate,Oncorhynchus,tshawytscha,650,,Female,,,,,,10/11/06,,MM,2/13/07,,Tissue Type: Caudal fin,T021806,California,Del Norte,Klamath River,,,Klamath River,,,,Iron Gate Hatchery,,
T021807,T230,11A,TGV,11A,11,IG101106-336,IGH_09,989,Klamath Below Iron Gate,Oncorhynchus,tshawytscha,660,,Female,,,,,,10/11/06,,MM,2/13/07,,Tissue Type: Caudal fin,T021807,California,Del Norte,Klamath River,,,Klamath River,,,,Iron Gate Hatchery,,
T021808,T230,11B,TGV,11B,23,IG101106-36,IGH_10,989,Klamath Below Iron Gate,Oncorhynchus,tshawytscha,760,,Female,,,,,,10/11/06,,MM,2/13/07,,Tissue Type: Caudal fin,T021808,California,Del Norte,Klamath River,,,Klamath River,,,,Iron Gate Hatchery,,
